,SQLDATE,Actor1Name,SOURCEURL,MonthYear,EventRootCode,GoldsteinScale,NumMentions,AvgTone,ActionGeo_CountryCode,ActionGeo_Lat,ActionGeo_Long
69,20160317,CHAD,http://www.nationalturk.com/en/mali-conflict-chad-begins-withdrawing-forces-from-mali-africa-news-36621/,201603,08,10.0,9,-8.22368421052632,FR,46.0,2.0
70,20160223,OKLAHOMA,http://www.jta.org/2016/02/23/news-opinion/united-states/u-of-oklahoma-to-share-nazi-looted-painting-in-settlement,201602,14,-7.5,1,-1.36363636363637,FR,46.0,2.0
71,20160219,FRENCH,http://www.thenational.scot/news/deal-or-no-deal-eu-talks-crunch-time-for-cameron.13940,201602,01,0.4000000059604645,2,1.344364047050476,FR,46.0,2.0
72,20160331,FRANCE,http://www.jamaicaobserver.com/news/This-Day-in-History_56059,201603,03,4.5,4,-4.44444444444445,FR,46.0,2.0
73,20160209,FRANCE,http://m.nzherald.co.nz/lifestyle/news/article.cfm?c_id=6&objectid=11586399,201602,04,2.799999952316284,4,1.3108614683151245,FR,46.0,2.0
74,20160417,FRANCE,http://wingatewire.com/2016/04/17/putin-tells-armenia-azerbaijan-to-end-karabakh-clashes/,201604,04,2.5,10,-4.03397027600849,FR,46.0,2.0
75,20160331,GABON,http://www.punchng.com/new-central-africa-sex-abuse-claims-sickening-un/,201603,07,8.5,20,-6.41548472226148,FR,46.0,2.0
76,20160226,GERMAN,http://www.arabnews.com/world/news/886491,201602,13,-4.400000095367432,4,-4.51127815246582,FR,47.13819885253906,2.3297200202941895
77,20160229,AUSTRALIA,http://www.traveldailynews.com/news/article/70720/more-international-tourists-visiting-english,201602,04,2.799999952316284,2,1.3888888359069824,FR,46.0,2.0
78,20160224,GERMANY,http://turkishweekly.net/2016/02/24/news/germany-france-urge-ukraine-and-russia-to-implement-minsk-accord/,201602,04,2.5,12,-3.25581395348837,FR,48.8667,2.33333
79,20160430,UNITED STATES,http://billsinsider.com/2016/04/30/138960-mixed-global-reaction-to-australian-submarine-announcement/,201604,02,3.2,2,0.9009009009009,FR,46.0,2.0
80,20160226,MACEDONIA,http://www.newkerala.com/news/2016/fullnews-27081.html,201602,05,3.4000000953674316,4,-11.339221954345703,FR,48.8667,2.33333
81,20160325,POLICE FORCE,http://thepeninsulaqatar.com/news/international/375661/wanted-notice-for-suspected-brussels-suicide-bomber-taken-down,201603,15,-7.2,6,-6.22406639004149,FR,48.8667,2.33333
82,20160218,FRENCH,http://www.walesonline.co.uk/news/wales-news/total-145-well-known-figures-10913084,201602,17,-9.2,2,-0.36101083032491,FR,46.0,2.0
83,20160424,FRANCE,http://www.business-standard.com/article/news-ians/g7-agree-on-cooperation-to-prevent-animal-diseases-116042400145_1.html,201604,04,2.5,18,-0.144927989488738,FR,46.0,2.0
84,20160424,FRANCE,http://www.business-standard.com/article/news-ians/g7-agree-on-cooperation-to-prevent-animal-diseases-116042400145_1.html,201604,04,2.5,18,-0.144927989488738,FR,46.0,2.0
85,20160218,FRENCH,http://www.algemeiner.com/2016/02/18/jewish-human-rights-organization-lauds-paris-for-adopting-anti-bds-resolutions/,201602,16,-8.0,1,-2.29226361031519,FR,48.8667,2.33333
86,20160323,EGYPT,http://english.ahram.org.eg/NewsContent/1/64/195673/Egypt/Politics-/Egypt-to-sign--bln-euro-French-arms-deals-La-Tribu.aspx,201603,15,-7.2,5,-2.8125,FR,48.8667,2.33333
87,20160510,PROTESTER,https://www.rt.com/news/343322-france-protest-gas-labor/,201605,13,-5.8,10,-6.95187165775401,FR,48.8667,2.33333
88,20160224,UNITED STATES,http://www.mysanantonio.com/news/local/crime/article/Police-Central-Texas-man-ate-marijuana-had-pot-6851512.php,201602,17,-9.2,3,-6.4066852367688,FR,49.1854,1.49581
89,20160227,PRIME MINISTER,http://www.irishtimes.com/news/ireland/irish-news/give-me-a-crash-course-in-the-calais-jungle-1.2550057,201602,07,7.400000095367432,4,-5.930807113647461,FR,50.52429962158203,1.585710048675537
90,20160211,RUSSIA,http://www.france24.com/en/20160211-france-notre-dame-des-landes-referendum-hollande,201602,05,3.8,4,-0.96153846153847,FR,47.3805,-1.70904
91,20160226,BERLIN,http://www.thebookseller.com/profile/sarah-bakewell-interview-323370,201602,04,1.899999976158142,3,0.3086419701576233,FR,48.8667,2.33333
92,20160503,UNITED STATES,http://www.foxnews.com/us/us-slideshows/2012/11/16/high-profile-art-heists-that-remain-unsolved.html,201605,17,-9.2,2,-3.42105263157895,FR,48.8667,2.33333
93,20160402,BELGIUM,http://www.todayonline.com/world/salah-abdeslam-refused-blow-himself-brother-says-bfm-tv,201604,01,-0.1,2,-6.66666666666667,FR,48.8667,2.33333
94,20160227,GOVERNMENT,http://thepeninsulaqatar.com/business/international-business/372131/g20-warns-over-loopholes-in-fight-against-terror-finance,201602,01,-0.4000000059604645,75,-9.067621231079102,FR,48.8667,2.33333
95,20160208,FRANCE,http://www.ifj.org/nc/en/news-single-view/backpid/1/article/ifj-calls-for-coherent-engagement-in-tackling-challenges-to-safety-in-journalism/,201602,01,-0.4000000059604645,1,-0.7058823704719543,FR,48.8667,2.33333
96,20160209,FRANCE,http://www.standard-freeholder.com/2016/02/08/more-surveying-of-domtar-lands,201602,01,0.4000000059604645,10,-1.1047065258026123,FR,48.8667,2.33333
97,20160225,BUSINESS,http://reneweconomy.com.au/2016/energy-markets-the-planets-unlikely-new-ally-in-the-emissions-effort-16687,201602,04,2.799999952316284,10,-1.585365891456604,FR,48.8667,2.33333
98,20160228,MUSLIM,http://www.gatestoneinstitute.org/7497/france-islamophobia,201602,07,7.400000095367432,4,-2.966021776199341,FR,48.8667,2.33333
99,20160229,PARIS,http://www.informationclearinghouse.info/article44328.htm,201602,01,0.4000000059604645,1,-3.2186808586120605,FR,48.8667,2.33333
100,20160418,FRANCE,http://chronicle.com/article/France-Libre/236100,201604,17,-9.2,2,-2.40963855421686,FR,44.9147,4.27049
101,20160213,VENEZUELA,http://equilibrioinformativo.com/2016/02/irans-return-to-oil-market-leads-to-further-increase-in/,201602,02,3.2,10,-3.20197044334975,FR,48.8667,2.33333
102,20160323,FRENCH,http://www.sfgate.com/news/article/Brussels-attack-Islamic-State-claims-deadly-6975249.php,201603,15,-7.2,14,-6.93334015741026,FR,48.8667,2.33333
103,20160205,DEPUTY,http://www.bbc.co.uk/news/uk-scotland-tayside-central-35504274,201602,16,-5.6,4,-3.55555555555555,FR,48.8667,2.33333
104,20160425,GERMANY,http://wfin.com/president-obama-to-send-up-to-250-additional-military-personnel-to-syria/,201604,07,8.3,6,-0.330447330447327,FR,48.8667,2.33333
105,20160331,BELGIAN,http://www.ibtimes.co.uk/brussels-attack-police-new-anti-terror-operation-isis-suspect-salah-abdeslam-vows-cooperate-1552489,201603,15,-7.2,6,-7.70519262981575,FR,48.8667,2.33333
106,20160229,DISNEY,http://www.tampabay.com/things-to-do/food/cooking/at-disneys-flavor-lab-chefs-invent-the-happiest-food-on-earth/2267294,201602,04,1.899999976158142,9,1.4285714626312256,FR,48.8667,2.33333
107,20160227,LIBYA,http://nanonews.org/western-troops-confirmed-on-the-ground-in-libya/,201602,01,0.4000000059604645,2,-8.241758346557617,FR,48.8667,2.33333
108,20160228,FRENCH,http://www.seattlepi.com/news/world/article/Jacques-Rivette-French-New-Wave-film-director-6792827.php,201602,05,3.4000000953674316,4,2.0183486938476562,FR,43.019901275634766,3.0436599254608154
109,20160214,FRANCE,https://uk.news.yahoo.com/opposition-activists-turkey-shelling-kurds-syria-094531948.html,201602,02,-0.3,488,-3.92219572830459,FR,48.8667,2.33333
110,20160408,FRANCE,http://english.aawsat.com/2016/04/article55349412/france-rules-future-libya-airstrikes-secure-unity-government,201604,02,-0.3,8,-0.146500445521899,FR,48.8667,2.33333
111,20160321,FRANCE,https://global.handelsblatt.com/edition/393/ressort/politics/article/greece-struggles-with-turkey-deal,201603,03,4.5,1,-3.08510638297873,FR,46.0,2.0
112,20160219,IRAN,http://day-news.net/2016/02/19/canadian-dollar-tops-73-cents-amid-hopes-for-oil-output/,201602,06,6.400000095367432,6,-1.651842474937439,FR,46.0,2.0
113,20160320,SECURITY COUNCIL,http://periodismotransversal.com/2016/03/20/iran-missile-tests-iran-urges-moderation/,201603,02,3.2,5,-4.19235511713934,FR,46.0,2.0
114,20160506,FRENCH,https://www.newsghana.com.gh/france-to-double-forces-in-ivory-coast/,201605,15,-7.2,8,-4.12844036697248,FR,46.0,2.0
115,20160212,THE INTERNATIONAL COMMUNITY,http://reliefweb.int/report/chad/investing-resilience-and-development-lake-chad,201602,02,3.2,2,0.0,FR,48.8667,2.33333
116,20160405,RUSSIA,http://senegal-actu.com/2016/04/azerbaijans-says-cease-fire-agreed-with-nagorno-karabakh/,201604,04,2.5,2,-5.0561797752809,FR,46.0,2.0
117,20160322,PARIS,http://muslimvillage.com/2016/03/23/117535/isis-responsibility-belgium-slaughter/,201603,15,-7.2,2,-7.90340285400659,FR,48.8667,2.33333
118,20160216,UKRAINE,http://la-kabylie.com/2016/02/16/waszczykowski-there-is-russian-aggression-not-a-civil-war/,201602,04,2.5,4,-4.68431771894094,FR,46.0,2.0
119,20160226,CONGRESSMAN,http://www.floridatoday.com/story/opinion/2016/02/26/thumbs-thumbs-feb/80949002/,201602,07,7.400000095367432,1,-2.4390244483947754,FR,46.0,2.0
120,20160228,,http://www.adn.com/article/20160227/state-money-tight-alaska-lawmakers-report-250000-free-travel,201602,04,2.799999952316284,2,1.1692650318145752,FR,48.8667,2.33333
121,20160209,,http://www.nytimes.com/2016/02/10/arts/international/reviving-the-art-of-david-jones.html,201602,04,1.899999976158142,1,2.023919105529785,FR,43.89120101928711,2.1298398971557617
122,20160208,,http://www.idiva.com/news-entertainment/12-music-festivals-you-need-to-attend-with-your-girlfriends-this-year/16020836,201602,04,2.799999952316284,4,4.796511650085449,FR,46.0,2.0
123,20160213,FRANCE,http://www.talkvietnam.com/2016/02/home-hope-paire-ousts-wawrinka-to-reach-marseille-semis/,201602,08,10.0,1,-0.36496350364964,FR,46.0,2.0
124,20160227,UNITED KINGDOM,http://www.hertsad.co.uk:80/news/commemorating_harpenden_s_battle_of_britain_hurricane_pilot_1_4433564,201602,04,2.799999952316284,1,-2.750491142272949,FR,49.305599212646484,1.0996400117874146
125,20160425,FRENCH,http://www.cambstimes.co.uk:80/news/twin_sister_recalls_the_moment_she_clambered_through_brother_s_crashed_car_to_rescue_him_1_976868,201604,08,10.0,12,1.12124063596036,FR,46.0,2.0
126,20160219,EDINBURGH,http://fait-religieux.com/2016/02/19/hsbc-remains-headquartered-in-london-decides-against-move.html,201602,03,5.199999809265137,1,-0.923787534236908,FR,46.0,2.0
127,20160212,CIVIL SERVANT,https://www.today.ng/opinion/78606/2016-budget-a-deliberate-sabotage-by-civil-servants,201602,14,-7.5,4,-3.50515463917526,FR,46.0,2.0
128,20160226,MAGAZINE,http://www.france24.com/en/20160226-us-magazine-new-republic-sold-after-upheaval,201602,01,0.4000000059604645,5,-0.5154638886451721,FR,46.0,2.0
129,20160213,RUSSIA,http://www.upi.com/Top_News/World-News/2016/02/13/Russian-PM-blames-the-West-for-new-Cold-War/7191455369651/,201602,08,10.0,2,-1.58227848101266,FR,46.0,2.0
130,20160516,FRANCE,http://www.thelocal.fr/20160516/how-france-is-failing-to-protect-foreigners-human-rights,201605,05,3.8,4,-4.6267087276551,FR,46.0,2.0
131,20160205,FRENCH,http://unknews.unk.edu/2016/02/05/unktheworld-kicks-off-film-series-with-the-other-side/,201602,05,3.8,3,1.79948586118252,FR,46.0,2.0
132,20160404,FRENCH,https://www.yahoo.com/news/u-navy-says-seized-weapons-iran-likely-bound-220603292.html,201604,17,-9.2,24,-3.14063767556291,FR,46.0,2.0
133,20160219,UNICEF,http://reliefweb.int/job/1402851/nutrition-specialist-ert-p-4-nyhq,201602,07,7.400000095367432,10,2.595155715942383,FR,46.0,2.0
134,20160228,FRENCH,http://www.fdlreporter.com/story/news/local/action-advertiser/2016/02/28/corks-forks-annual-uw-fond-du-lac-foundation-fundraiser/80552002/,201602,05,3.4000000953674316,10,7.944514274597168,FR,46.0,2.0
135,20160505,MEXICO,http://www.forbes.com/sites/kellyphillipserb/2016/05/05/taxes-not-tequila-the-story-of-cinco-de-mayo/,201605,17,-9.2,1,-2.81081081081081,FR,46.0,2.0
136,20160219,FRANCE,https://www.timminstoday.com/local-news/parents-win-concession-for-sacred-heart-option-199337,201602,01,0.4000000059604645,2,1.4360313415527344,FR,46.0,2.0
137,20160409,DIRECTOR GENERAL,http://fait-religieux.com/2016/04/09/thirteen-north-korean-staff-defect-from-overseas-restaurant.html,201604,13,-5.8,10,-1.33333333333334,FR,46.0,2.0
138,20160513,JERUSALEM,http://ejpress.org/index.php?option=com_content&view=article&id=55865&catid=25,201605,02,3.2,1,4.01606425702812,FR,46.0,2.0
139,20160406,FRANCE,http://www.metro.us/news/panama-law-firm-says-data-hack-was-external-files-complaint/zsJpdf---afuaaPIOvak/,201604,03,4.5,6,-5.39033457249071,FR,46.0,2.0
140,20160209,GERMANY,http://www.windpowermonthly.com/article/1382585/wkn-sell-french-projects-john-laing,201602,06,6.400000095367432,1,2.1505377292633057,FR,46.0,2.0
141,20160208,GERMANY,http://www.kten.com/story/31159918/the-latest-kerry-consults-with-japan-skorean-counterparts,201602,13,-4.400000095367432,18,-2.4283463954925537,FR,46.0,2.0
142,20160201,IRAN,http://www.jewocity.com/blog/iranian-regime-swaps-sanctions-for-big-cash-deals-in-europe/258147,201602,13,-5.8,1,-1.85528756957328,FR,48.8667,2.33333
143,20160208,JAPAN,http://www.globalsecurity.org/wmd/library/news/dprk/2016/dprk-160207-presstv03.htm,201602,04,1.899999976158142,8,-2.694610834121704,FR,46.0,2.0
144,20160218,BRITISH,http://www.gazzettadelsud.it/news/english/185810/Calais-camp--symbol-of-migrant.html,201602,04,1.899999976158142,4,-9.174311637878418,FR,46.0,2.0
145,20160229,NEW YORK STATE,http://www.ameripublications.com/france-says-detects-first-sexually-transmitted-zika-case/93820,201602,04,2.799999952316284,2,-6.387665271759033,FR,48.8667,2.33333
146,20160229,CANADA,http://www.traveldailynews.com/news/article/70720/more-international-tourists-visiting-english,201602,04,2.799999952316284,2,1.3888888359069824,FR,46.0,2.0
147,20160306,BURKINA FASO,http://www.sldinfo.com/french-remotely-piloted-aircraft-reach-15000-hours-during-operation-barkahne/,201603,15,-7.2,2,0.22988505747126,FR,49.3519,3.68286
